中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
10.82,0.008224067,22,0.012815063,0.021087582,0.017360217,0.009164514,0.004272708,1.032069012,-0.002993204,3.24E-05,0.007362122,0.006405425,2
23.98,0.009163683,29,0.025224753,0.01186072,-0.0037917,0.015150588,-0.008342489,0.868207861,-0.000686599,-0.000420726,0.003636951,0.003740531,2
41.36,0.005919391,36,0.034099862,0.015421404,0.00139993,0.010346566,-0.004804203,0.779852537,-0.002575819,0.00043414,0.003525436,0.003321951,2
14.3,0.010551962,27,-0.000575624,0.016181945,-0.011187336,0.044112363,0.039026152,0.977693558,0.000562626,-0.001935792,0.010390451,0.015402887,0
2.99,0.00930249,26,0.002578344,0.044199854,0.043180202,0.011434718,0.003308533,1.96213855,0.000680448,0.001824445,0.005277756,0.006692416,1
17.16,0.011191626,25,0.026746637,0.011464049,0.005842702,0.018384118,-1.95E-05,1.001257244,-0.002071715,0.000598917,0.01120749,0.012403534,1
55.96,0.007734219,29,0.017641409,0.018481939,-0.00023969,0.008517082,0.003315621,0.893295535,-0.001752812,0.000391904,0.003520324,0.003491077,1
18.28,0.005427697,28,0.012686088,0.011379047,0.005421136,0.011010851,-0.003407796,0.784715576,-0.00279014,0.000810344,0.007455863,0.008416468,2
31.95,0.007471749,26,0.021847076,0.015630101,0.005150456,0.016349645,-0.000311807,1.000954112,0.00056657,6.78E-05,0.004152467,0.00511468,2
45.42,0.00657141,25,0.020825957,0.017859629,-0.003134222,0.009784853,0.006351111,1.060412095,-0.001232023,-0.001054225,0.00396023,0.004993476,1
6.58,0.0102453,23,-0.002045633,0.009807728,0.007669758,0.029781042,0.025869822,0.743049278,-0.002136781,3.21E-05,0.004107527,0.005416613,0
16.99,0.005218924,25,-0.000592646,0.030654836,0.025111139,0.010423747,0.008518522,1.817599403,-0.000910267,0.000319891,0.007509514,0.00510604,1
3.37,0.009683177,26,0.025183883,0.014086276,0.013014558,0.014370241,-0.000695995,0.88530982,0.002053584,-0.000768374,0.004701583,0.004127545,2
12.72,0.00460993,31,0.031069961,0.014389276,-0.010303793,0.0134851,0.007501869,1.009053889,0.000900034,-0.00224891,0.007205866,0.007515506,1
8.5,0.005162728,27,0.007491982,0.015217644,0.012518778,0.011082414,0.004643924,0.874904105,0.001414639,0.000961248,0.004805243,0.00461343,1
6.33,0.010870167,24,0.034522713,0.012120632,0.010145053,0.024084504,-0.012035017,1.147632444,0.008950413,-0.002515938,0.006494074,0.007547379,1
39.02,0.006748945,24,0.030876442,0.024112552,-0.011765098,0.011243291,0.005221793,0.973743124,-0.002332236,0.000935147,0.004452127,0.005892147,1
8.49,0.008482484,26,0.006467268,0.013307821,0.01066488,0.018610144,0.010814634,0.925499927,-0.000311941,0.000237689,0.005935964,0.005418267,1
